permitnumber,permittype,permitdescription,typeofwork,approvedscopeofwork,status,commercialorresidential,address,zip,council_district,contractorname,contractoraddress1,contractorcity,contractorstate,contractorzip,opa_owner,permitissuedate,matched_trades
CP-2026-004958,Building,Commercial Building Permit,Commercial Make Safe Permit,"**MAKE SAFE PERMIT** FOR THE SISTERING OF JOIST AND ROOF REPAIRS TO COMPLY WITH VIOLATION CASE #CF-2026-080935. NOT TO EXCEED SCOPE OF WORK NOTED IN ENGINEER'S REPORT AND SHOWN ON APPROVED PLANS. SEPARATE PERMITS REQUIRED FOR ANY ADDITIONAL ALTERATIONS THAT ARE NOT SPECIFICALLY ADDRESSED ON THE VIOLATIONS. IN ACCORDANCE WITH CODE BULLETIN PM-1801, A PA PROFESSIONAL ENGINEER IS REQUIRED TO MONITOR REPAIRS MADE UNDER THIS PERMIT. THE ENGINEER MUST SUBMIT A SEALED STATEMENT TO THE DEPARTMENT CONFIRMING THAT THE STRUCTURE IS IN SOUND CONDITION AT COMPLETION.",Issued,Commercial,32-42 BANK ST,19106-2811,1,C & G CONTRACTING CO INC,"C & G CONTRACTING CO INC
970 RIVER RD
CROYDON, PA  19021
USA",,,,APPLE HOSTELS OF PHILADEL,2026-09-15T04:00:00Z,roofing;commercial_fitout
CP-2026-004675,Building,Commercial Building Permit,Addition and/or Alteration,FOR LEVEL II INTERIOR ALTERATIONS INCLUDING STRUCTURAL WORK ON SPACE #5 TO INCLUDE AN ADA TOILET PER APPROVED PLANS. SEPARATE FIT-OUT PERMIT & USE REGISTRATION PERMITS REQUIRED PRIOR TO OCCUPANCY.,Issued,Commercial,1701 MARKET ST,19103-2903,5,LJM PARTNERS LLC,"LJM PARTNERS LLC
2 Town Pl
Suite 220
Bryn Mawr, PA  19010
USA",,,,1701 MARKET LLC,2026-09-15T04:00:00Z,commercial_fitout
CP-2026-004664,Building,Commercial Building Permit,Addition and/or Alteration,FOR A LEVEL II INTERIOR ALTERATIONS (NO CHANGE IN OCCUPANCY ) TO A PORTION OF THE 2ND AND 4TH FLOOR LEVEL OF AN EXISTING STRUCTURE.  ALL WORK TO BE DONE PER APPROVED PLANS.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2021**EXISTING BUILDING FULLY SPRINKLERED** SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK**,Issued,Commercial,325-41 CHESTNUT ST,19106-2614,1,TOTAL CONSTRUCTION INC,"TOTAL CONSTRUCTION INC
601 Walnut Street, Suite L-44
Philadelphia, PA  19106
USA",,,,KREF LENDING III LLC,2026-09-15T04:00:00Z,commercial_fitout
CP-2026-001124,Building,Commercial Building Permit,Addition and/or Alteration,"LEVEL II INTERIOR ALTERATIONS (NO CHANGE OF OCCUPANCY) FOR RENOVATIONS TO EXISTING MEDICAL OFFICE (OUTPATIENT SURGERY CENTER) ONE THE FIRST FLOOR OF AN EXISTING BUILDING AS PER APPROVED PLANS AND PA DOH APPROVAL. EXISTING BUILDING SPRINKLERED. *2018 IEBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR ANY MEP OR FIRE SUPPRESSION WORK**",Issued,Commercial,8400A E ROOSEVELT BLVD,19152-2012,10,PATRIOT CONSTRUCTION,"PATRIOT CONSTRUCTION
950 Calcon Hook Rd
Suite 25
Sharon Hill, PA  19079
USA",,,,PANNYPACK ASSOC L P,2026-09-15T04:00:00Z,commercial_fitout
CP-2026-004935,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ALTERATIONS & PARTIAL CHANGE OF OCCUAPNCY TO AN EXISTING TENANT SPACE FOR USE AS A CILDCARE CENTER (E OCCUPANCY), ALTERATIONS TO INCLUDE THE ERECTION OF PARTITION WALLS, PROVIDE FINISHES/FURNISHINGS AND ACCESSIBILITY IMPROVEMENTS THROUGHOUT. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK.",Issued,Commercial,605 N 35TH ST,19104-1901,3,Phamily Tree LLC,"Phamily Tree LLC
6 Flagstone Drive
Sicklerville, NJ  08081
USA",,,,STRONG PROPERTIES LLC,2026-09-15T04:00:00Z,commercial_fitout
CP-2026-005214,Building,Commercial Building Permit,Addition and/or Alteration,"FOR ALTERATIONS TO FRONT ENTRANCE/FACADE PER APPROVED PLANS.  SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL AND PLUMBING WORK.",Issued,Commercial,4021 MARKET ST,19104-3002,3,HUANGS REPAIRING COMPANY LLC,"HUANGS REPAIRING COMPANY LLC
909 MOUNTAIN ST
PHILADELPHIA, PA  19148
USA",,,,JK MARKET LLC,2026-09-15T04:00:00Z,commercial_fitout
EP-2026-007200,Electrical,Electrical Permit,Addition and/or Alteration,"installation of lighting fixtures, switches, exit signs, emergency lighting, telecommunication wiring and receptacles outlets to a commercial space.   Install branch circuits to supply power to appliances and HVAC equipment.   All work to be perform according to the 2020 NEC and per approved plans. ",Issued,Commercial,824 N 2ND ST,19123-3010,1,FRED DINARDO JR,"FRED DINARDO JR
2516 S. CHADWICK ST
PHILADELPHIA, PA  19145
USA",,,,820 N 2ND REALTY PARTNERS L.P.,2026-09-15T04:00:00Z,hvac;commercial_fitout
EP-2026-003495,Electrical,Electrical Permit,Addition and/or Alteration,"Install complete fire alarm system per approved drawings : automatic smoke detection & notification appliances in throughout commercial area, low frequency horns 
in sleeping areas (living rms and bedrooms) ,110v interconnected smoke/CO alarms in apartment.
-NOTED : HEAT DETECTOR IN COMMERCIAL BATHROOM-",Issued,Commercial,6243 OGONTZ AVE,19141-1412,8,RICHARD CHRISTOPHER,"RICHARD CHRISTOPHER
948 Rundale Avenue
Yeadon, PA  19050
USA",,,,KATCHEKPELE OBE ANNE MARIE,2026-09-15T04:00:00Z,kitchen_bath;commercial_fitout
MP-2026-004603,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"FOR THE INSTALLATION OF FIVE (5) TYPE 1 COMMERCIAL KITCHEN HOODS (8'-0"") AND ASSOCIATED DUCTWORK, FANS AS PER APPROVED PLANS. SEPARATE PERMITS REQUIRED FOR ELECTRICAL AND FIRE SUPPRESSION WORK.  **IMC 2018** ",Issued,Commercial,2104-06 MARKET ST,19103-3103,5,SUN GENERAL CONSTRUCTION LLC,"SUN GENERAL CONSTRUCTION LLC
547 MOORE STREET
PHILADELPHIA, PA  19148
USA",,,,2100 MARKET LP,2026-09-15T04:00:00Z,hvac;kitchen_bath;commercial_fitout
CP-2026-003511,Building,Commercial Building Permit,Commercial Make Safe Permit,MAKE SAFE PERMIT TO COMPLY WITH CF-2025-029967 TO INCLUDE PARTIAL DEMOLITION AND REPAIRS/REPLACEMENT OF EXTERIOR WALL AND FRAMING PER APPROVED PLANS AND IN ACCORDANCE WITH CODE BULLETIN PM-1801.  LICENSED PA PROFESSIONAL ENGINEER IS REQUIRED TO MONITOR REPAIRS MADE UNDER THIS PERMIT.  THE ENGINEER MUST SUBMIT A SEALED STATEMENT TO THE DEPARTMENT CONFIRMING THAT THE STRUCTURE IS IN SOUND CONDITION AT COMPLETION.  SEPARATE PERMITS REQUIRED FOR ADDITIONAL ALTERATIONS NOT ADDRESSED IN APPROVED PLANS. ,Issued,Commercial,1327-31 N 5TH ST,19122-4303,5,"Bridge One Construction, LLC","Bridge One Construction, LLC
114 Chestnut Street, 4th Flr
Philadelphia, PA  19106
USA",,,,1327-31 N 5TH ST LLC,2026-09-15T04:00:00Z,demolition;commercial_fitout
CP-2026-005318,Building,Commercial Building Permit,Commercial Make Safe Permit,"FOR THE STRUCTURAL REPAIR TO EXTERIOR WALL, JOISTS AND ROOF TO RESOLVE CASE #CF-2026-092776. A SEPARATE PERMIT IS REQUIRED FOR ANY ADDITIONAL ALTERATIONS THAT ARE NOT SPECIFICALLY ADDRESSED ON THE REFERENCED CASE FILE(S).
** PERMIT INCLUDES REMOVAL OF MORE THAN 2/3 OF STRUCTURAL FRAMING MEMBERS - DEMOLITION PERMIT  REQUIRED IF ANY PORTION OF THE EXTERIOR WALL IS REMOVED AS A RESULT OF THIS PERMIT OR FUTURE PLANNED DEVELOPMENT IN ACCORDANCE WITH SECTION 14-305(6)(G) OF THE PHILADELPHIA ZONING CODE **
",Issued,Commercial,329-31 FAIRMOUNT AVE,19123-2917,1,TBC LLC,"TBC LLC
1546 PACKER AVE
LOWER LEVEL
PHILADELPHIA, PA  19145
USA",,,,"BABUSIK FRANK, ANNA",2026-09-15T04:00:00Z,roofing;demolition;commercial_fitout
CP-2026-004645,Building,Commercial Building Permit,Addition and/or Alteration,"LEVEL II INTERIOR ALTERATIONS (NO CHANGE OF OCCUPANCY) FOR RENOVATIONS TO EXISTING TOILET ROOMS ON THE 7TH FLOOR OF AN EXISTING HIGH-RISE OFFICE BUILDING AS PER APPROVED PLANS. EXISTING BUILDING FULLY SPRINKLERED. *2021 IEBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR ANY MEP OR FIRE SUPPRESSION WORK**",Issued,Commercial,1650 MARKET ST,19103-7301,5,MJ SETTELEN CONSTRUCTION LLC,"MJ SETTELEN CONSTRUCTION LLC
230 S BROAD ST
SUITE 1100
PHILADELPHIA, PA  19102
USA",,,,PHILA LIBERTY PLA E LP,2026-09-15T04:00:00Z,commercial_fitout
ZP-2026-009209,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Single-Family,Issued,Residential,1642 FORRESTAL ST,19145-5803,2,B&K GENERAL CONTRACTING LLC,"B&K GENERAL CONTRACTING LLC
2235 S 20TH STREET
PHILADELPHIA, PA  19145
USA",,,,"JOSEPH ANGELO, JULIA",2026-09-15T03:20:50Z,commercial_fitout
ZP-2026-008941,Zoning,Zoning Permit,Change of Use,Personal Services,Issued,Commercial,1124 WALNUT ST,19107-5513,1,,,,,,PIEN SHIH TAI,2026-09-14T19:50:58Z,commercial_fitout
ZP-2026-006538,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Single-Family,Issued,Residential,2314-16 E SUSQUEHANNA AVE,19125-2524,1,ORPHANIDES LAW PLLC,"ORPHANIDES LAW PLLC
1801 Montrose Street
Unit E
Philadelphia, PA  19146
USA",,,,"JASINSKI PATRICIA, POMROY RONALD",2026-09-14T18:27:13Z,commercial_fitout
ZP-2026-009218,Zoning,Zoning Permit,Change of Use,Eating and Drinking Establishments - Prepared Food Shop,Issued,Commercial,1429 FRANKFORD AVE,19125-4409,5,,,,,,GONZALEZ RAYMOND,2026-09-14T17:04:46Z,commercial_fitout
CP-2026-000479,Building,Commercial Building Permit,New Construction,"NEW CONSTRUCTION OF A THREE-STORY BUILDING WITH BASEMENT AND TWO PRIVATE ROOF DECKS WITH PILOT HOUSES FOR USE AS FOUR (4) DWELLING UNITS AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED PER NFPA 13. WORK TO INCLUDE UNDERPINNING OF ADJACENT BUILDING TO BE MONITORED BY A PA LICENSED PE AT ALL TIMES. *2018 IBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR EXCAVATION, MEP & FIRE SUPPRESSION WORK**",Issued,Commercial,2705 INGRAM ST,19146-3744,2,GVD Construction Group LLC,"GVD Construction Group LLC
411 Boulevard of the Americas
Ste 111
Lakewood, NJ  08701
USA",,,,,2026-09-14T04:00:00Z,new_construction;commercial_fitout
PP-2026-008289,Plumbing,Plumbing Permit,New Construction or Additions,"NEW CONSTRUCTION OF MIXED USE BUILDING. EXTERIOR INSTALLATION OF CURB TRAP, FAI, MAIN DRAIN, AND 1 1/2"" WATER DISTRIBUTION PIPE. INTERIOR INSTALLATION OF DRAINAGE, WASTE, VENT, AND WATER SUPPLY FOR LISTED FIXTURES. ALL MATERIALS SHALL BE METALLIC TO ROOF EXTENSION FOR PIPING SERVING FIXTURES IN COMMERCIAL SPACES. VENTING TO BE DESIGNED AND INSTALLED IN ACCORDANCE WITH SECTION 919 PHILADELPHIA SINGLE STACK VENT SYSTEM. ALL WORK TO BE INSTALLED IN STRICT COMPLIANCE WITH 2021 PPC AND APPROVED PLANS.",Issued,Commercial,1441 GERMANTOWN AVE,19122-3706,7,Gaceta Plumbing LLC,"Gaceta Plumbing LLC
899 Old White Horse Pike
Waterford Works, NJ  08089
USA",,,,,2026-09-14T04:00:00Z,roofing;new_construction;commercial_fitout
EP-2026-007620,Electrical,Electrical Permit,Addition and/or Alteration,"Provide an interior electrical fit-out for a women's club tenant space on the third floor. Install lighting fixtures, lighting controls, exit signs, and emergency lighting.     Install branch circuits to supply power to receptacle outlets, appliances, and HVAC equipment, 

All work shall be performed in accordance with the 2020 NEC and the approved plans.

",Issued,Commercial,1616 LATIMER ST,19103-6308,2,Hoyer Electrical Contractors Inc,"Hoyer Electrical Contractors Inc
2261 CORSON LN
PLYMOUTH MEETING , PA  19462
USA",,,,"COSMOPOLITAN CLUB OF, PHILA INC",2026-09-14T04:00:00Z,hvac;commercial_fitout
EP-2026-008494,Electrical,Electrical Permit,Addition and/or Alteration,"Provide electrical work for a commercial space, including installation of lighting, branch circuit wiring, and a fire alarm system. Provide all associated wiring, lighting fixtures, receptacle outlets, devices, equipment and overcurrent protection.

All work shall be performed in accordance with the 2019 NFPA 72, the 2020 NEC and the approved plans.",Issued,Commercial,1800 JOHN F KENNEDY BLVD,19103-2925,5,J.W. Carrigan,"J.W. Carrigan
8 Union Hill Road
Suite 100
West Conshohocken, PA  19428
USA",,,,BELL ATLANTIC,2026-09-14T04:00:00Z,commercial_fitout
CP-2026-004251,Building,Commercial Building Permit,Addition and/or Alteration,LEVEL II INTERIOR ALTERATIONS (NO CHANGE IN OCCUPANCY ) TO A PORTION OF THE 9TH FLOOR OF AN EXISTING STRUCTURE. WORK TO ALSO INCLUDE A LEVEL i ALTERATION ON THE 12TH AND 15TH FLOOR. ALL WORK TO BE DONE PER APPROVED PLANS.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2018**EXISTING BUILDING FULLY SPRINKLERED** SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK**,Issued,Commercial,1880 JOHN F KENNEDY BLVD,19103-7422,5,MMB CONTRACTORS INC,"MMB CONTRACTORS INC
240 N. 13TH STREET
PHILADELPHIA, PA  19107
USA",,,,JFK INVESTMENT ASSOCIATES,2026-09-14T04:00:00Z,commercial_fitout
CP-2026-005175,Building,Commercial Building Permit,Addition and/or Alteration,FOR A LEVEL II INTERIOR ALTERATIONS TO INCLUDE A CHANGE IN OCCUPANCY TO ACCOMMODATE A PORTION OF THE 1ST FLOOR LEVEL OF AN EXISTING STRUCTURE.  TO CREATE A BUSINESS OCCUPANCY. ALL WORK TO BE DONE PER APPROVED PLANS.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2021**EXISTING BUILDING FULLY SPRINKLERED** SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK**,Issued,Commercial,1833 HOPE ST,,7,US ELECTRICAL CONSTRUCTION CO INC,"US ELECTRICAL CONSTRUCTION CO INC
79 SOUTH MAIN STREET
MULLICA HILL, NJ  08062
USA",,,,,2026-09-14T04:00:00Z,commercial_fitout
CP-2026-000499,Building,Commercial Building Permit,New Construction,"NEW CONSTRUCTION OF A THREE-STORY BUILDING WITH BASEMENT AND A PRIVATE ROOF DECK WITH PILOT HOUSE FOR USE AS THREE (3) DWELLING UNITS AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED PER NFPA 13. *2018 IBC REVIEW* **SEPARATE PERMITS REQUIRED FOR EXCAVATION, MEP & FIRE SUPPRESSION WORK**",Issued,Commercial,2705 INGRAM ST,19146-3744,2,GVD Construction Group LLC,"GVD Construction Group LLC
411 Boulevard of the Americas
Ste 111
Lakewood, NJ  08701
USA",,,,,2026-09-14T04:00:00Z,pool_deck_fence;new_construction;commercial_fitout
EP-2025-011295,Electrical,Electrical Permit,New Construction,"INSTALL 400 AMP ELECTRICAL SERVICE AND 4 METER PACKS WITH PROPER GROUNDING AND BONDING.  INSTALL ONE 100 AMP SUBPANELS FOR  HOUSE, ONE 200 AMP SUBPANEL FOR COMMERCIAL SPACE AND ONE 125 AMP SUBPANEL FOR 1 DWELLING UNITS.   INSTALL WIRING, LIGHTING, SWITCHES, EMERGENCY/EXIT LIGHTING COMBO AND RECEPTACLE OUTLETS.  INSTALL INTERCONNECTED SMOKE AND CO ALARMS.  INSTALL FIRE ALARM SYSTEM.   ALL WORK TO BE DONE ACCORDING TO THE 2017 NEC, 2016 NFPA 72 AND PER APPROVED PLANS.  ",Issued,Commercial,1008 W ORLEANS ST,19133-1840,5,City Lights electric llc,"City Lights electric llc
2374 Pine rd 
huntingdon valley, PA  19006
USA",,,,T&I DEVELOPMENT LLC,2026-09-14T04:00:00Z,new_construction;commercial_fitout
CP-2026-005510,Building,Commercial Building Permit,Addition and/or Alteration,FO A LEVEL II INTERIOR ALTERATIONS (NO CHANGE IN OCCUPANCY ) TO A PORTION OF AN EXISTING STRUCTURE (SUITE #1330) LOCATED ON THE 13TH FLOOR. ALL WORK TO BE DONE PER APPROVED PLANS.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2021**EXISTING BUILDING FULLY SPRINKLERED** SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK**,Issued,Commercial,130 N 18TH ST,19103-2757,5,LAKASH CONSTRUCTORS INC,"LAKASH CONSTRUCTORS INC
921A N BETHLEHEM PK
SUITE R-100
AMBLER, PA  19002
USA",,,,OLS OFFICE PARTNERS L P,2026-09-14T04:00:00Z,commercial_fitout
CP-2026-004799,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II EXTERIOR ALTERATION, ENLARGEMENT OF THE EXISTING WINDOW OPENING AND INSTALLATION OF A NEW STOREFRONT
WINDOW ASSEMBLY TO AN EXISTING STRUCTURE. FOR USE AS PREVIOUSLY APPROVED. AS PER APPROVED PLANS.
***************************SEPARATE PERMITS FOR ANY OTHER WORK. **********************************************",Issued,Commercial,20 N 60TH ST,19139-2348,4,Odd One LLC,"Odd One LLC
1253 Sydney Street
Philadelphia, PA  19150
USA",,,,"HALL JACQUELINE, HALL ANTONIO",2026-09-14T04:00:00Z,commercial_fitout
CP-2026-005562,Building,Commercial Building Permit,Addition and/or Alteration,FOR A LEVEL II INTERIOR ALTERATIONS (NO CHANGE IN OCCUPANCY ) TO A PORTION OF AN EXISTIGS TRUCTURE.  FOR RESTROOMS UPGRADE ON THE 33RD FLOOR. ALL WORK TO BE DONE PER APPROVED PLANS.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2021**EXISTING BUILDING FULLY SPRINKLERED** SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK**,Issued,Commercial,1600-22 MARKET ST,19103-7240,5,COMMERCIAL CONSTRUCTION INC,"COMMERCIAL CONSTRUCTION INC
1811 BETHLEHEM PK
FLOURTOWN, PA  19031
USA",,,,AREP 1600 MARKET STREET L,2026-09-14T04:00:00Z,commercial_fitout
CP-2026-001073,Building,Commercial Building Permit,New Construction,"NEW CONSTRUCTION OF A THREE-STORY BUILDING WITH BASEMENT AND A PRIVATE ROOF DECK WITH PILOT HOUSES FOR USE AS THREE (3) DWELLING UNITS AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED PER NFPA 13. WORK TO INCLUDE UNDERPINNING OF ADJACENT BUILDING TO BE MONITORED BY A PA LICENSED PE AT ALL TIMES. *2018 IBC REVIEW* **SEPARATE PERMITS REQUIRED FOR EXCAVATION, MEP & FIRE SUPPRESSION WORK**",Issued,Commercial,2705 INGRAM ST,19146-3744,2,GVD Construction Group LLC,"GVD Construction Group LLC
411 Boulevard of the Americas
Ste 111
Lakewood, NJ  08701
USA",,,,,2026-09-14T04:00:00Z,pool_deck_fence;new_construction;commercial_fitout
MP-2026-002995,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,"FOR THE INSTALLATION OF TWO (2) TYPE 1 COMMERCIAL KITCHEN EXHAUST HOODS WITH ASSOCIATED EXHAUST FANS, MAKEUP AIR SYSTEMS, AND DUCTWORK. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2018 IMC AND MANUFACTURER SPECIFICATIONS. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK.",Issued,Commercial,161 W GIRARD AVE,19123-1619,5,TER-PRO LLC,"TER-PRO LLC
73330 TULIP STREET
PHILADELPHIA, PA  19136
USA",,,,"SAIDI MIRWAIS, SAIDI SHARARA",2026-09-14T04:00:00Z,hvac;kitchen_bath;commercial_fitout
CP-2026-005079,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ALTERATIONS TO INCLUDE TO REMOVAL OF FIXTURES, REPLACEMENT OF FIXTURES, NEW PARTITIONS, DOORS, FURNISHINGS, FINISHES AS PER APPROVED PLANS. SEPARATE PERMIT REQUIRED FOR ANY MEP AND FIRE SUPPRESSION WORK. *2021 IEBC* ",Issued,Commercial,201 N 21ST ST,19103,5,C. ERICKSON & SONS LLC,"C. ERICKSON & SONS LLC
2200 Arch Street
Suite 200
Philadelphia, PA  19103
USA",,,,"CITY OF PHILA, FRANKLIN INSTITUTE",2026-09-14T04:00:00Z,commercial_fitout
CP-2026-005239,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ALTERATIONS & CHANGE OF OCCUPANCY TO AN EXISTING TENANT SPACE FOR USE AS A SIT-DOWN RESTAURANT WITH OCCUPANT LOAD LESS THAN 50 (BUSINESS OCCUPANCY), ALTERATIONS TO INCLUDE THE ERECTION OF PARTITION WALLS, PROVIDE FINISHES/FURNISHINGS AND ACCESSIBILITY IMPROVEMENTS THROUGHOUT. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK.",Issued,Commercial,6421 WOODLAND AVE,19142-2037,2,LIBIO MATOS USA REMODELING CONSTRUCTION,"LIBIO MATOS USA REMODELING CONSTRUCTION
2633 KENSINGTON AVENUE
PHILADELPHIA, PA  19125
USA",,,,KOSIAH AYOUBA,2026-09-14T04:00:00Z,commercial_fitout
CP-2026-002112,Building,Commercial Building Permit,New Construction,"NEW CONSTRUCTION OF SITE-BUILT ELEMENTS FOR A MODULAR DETACHED ONE-STORY BUILDING FOR USE AS A PREPARED FOOD SHOP AS PER APPROVED PLANS AND PA DCED APPROVALS. BUILDING NOT REQUIRED TO BE SPRINKLERED. *2018 IBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR SITE ELECTRICAL AND PLUMBING WORK**",Issued,Commercial,7600-98 CITY AVE,19151-2007,4,"NJG Outdoor Management, LLC","NJG Outdoor Management, LLC
5 Kerry Court
Southampton, NJ  08088
USA",,,,CITY LINE SHOPPING ASSOC,2026-09-14T04:00:00Z,new_construction;commercial_fitout
CP-2026-005509,Building,Commercial Building Permit,Addition and/or Alteration,"FOR A LEVEL II INTERIOR ALTERATIONS (NO CHANGE IN OCCUPANCY ) TO A PORTION OF AN EXISTIGS TRUCTURE ( SUIT2#2675).  ALTERATIONS TO INCLUDE SELECTIVE DEMOLITION OF EXOISTING PARTITION AND THE  INSTALLATION OF NEW WALL PARTITIONS, PROVIDE FINISHES AND FURNISHINGS  AS PER APPROVED PLANS. ALL WORK TO BE DONE PER APPROVED PLANS.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2021**EXISTING BUILDING FULLY SPRINKLERED** SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK**",Issued,Commercial,130 N 18TH ST,19103-2757,5,LAKASH CONSTRUCTORS INC,"LAKASH CONSTRUCTORS INC
921A N BETHLEHEM PK
SUITE R-100
AMBLER, PA  19002
USA",,,,OLS OFFICE PARTNERS L P,2026-09-14T04:00:00Z,demolition;commercial_fitout
CP-2026-004949,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL III ALTERATIONS TO AN EXISTING RESIDENTIAL BUILDING. BUILDING SUBJECT TO CHANGE OF OCCUPANCY FROM GROUP R-3 (2 UNITS) TO R-2 (4 UNITS). ALTERATIONS TO INCLUDE THE ERECTION OF PARTITION WALLS, PROVIDE FINISHES/FURNISHINGS AND ACCESSIBILITY IMPROVEMENTS THROUGHOUT.  ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK. ** PERMIT INCLUDES WORK TO BE LEGALIZED **",Issued,Commercial,1946 N GRATZ ST,19121-2222,5,Timothy William Lewis,"Timothy William Lewis
4700 City Ave 
Apt 5105
Philadelphia , PA  19131
USA",,,,PABKS PROPERTY LLC,2026-09-13T04:00:00Z,commercial_fitout
CP-2026-005337,Building,Commercial Building Permit,Addition and/or Alteration,"LEVEL II INTERIOR ALTERATIONS (NO CHANGE OF OCCUPANCY) FOR RENOVATIONS TO EXISTING RESTAURANT ON THE FIRST FLOOR OF AN EXISTING BUILDING AS PER APPROVED PLANS. EXISTING BUILDING FULLY SPRINKLERED. *2021 IEBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR ANY MEP OR FIRE SUPPRESSION WORK**",Issued,Commercial,1025 ARCH ST,19107-2307,1,TRENDY CONSTRUCTION INC,"TRENDY CONSTRUCTION INC
1518 N FRANKLIN ST
PHILADELPHIA, PA  19122
USA",,,,800 STREET LLC,2026-09-13T04:00:00Z,commercial_fitout
CP-2025-003172,Building,Commercial Building Permit,New Construction,"NEW CONSTRUCTION OF A FOUR (4) STORY BUILDING WITH CELLAR AND ROOF ACCESS STRUCTURE (NO ROOF DECK) FOR USE AS EIGHTEEN (18) DWELLING UNITS AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED PER NFPA 13 & INCLUDE STANDPIPES PER NFPA 14. *2018 IBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",Issued,Commercial,5805 E WISTER ST,19138,8,PASP LLC,"PASP LLC
7929 REVERE ST
PHILADELPHIA, PA  19152
USA",,,,,2026-09-13T04:00:00Z,pool_deck_fence;new_construction;commercial_fitout
ZP-2026-008953,Zoning,Zoning Permit,Change of Use,Vehicle Equipment and Supplies Sales and Rentals,Issued,Commercial,6401 TORRESDALE AVE,19135-3320,6,,,,,,POSH REAL ESTATE MANAGEMENT LLC,2026-09-12T16:43:27Z,commercial_fitout
ZP-2025-010125,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,2220 DICKINSON ST,19146-4205,2,NAIM PASHA,"NAIM PASHA
",,,,DICKINSON LLC,2026-09-11T23:54:59Z,commercial_fitout
ZP-2026-008307,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,6228 ALGON AVE,19111-5801,9,,,,,,"DORMOI RICHARD, RIOS CATALINA",2026-09-11T20:13:10Z,commercial_fitout
ZP-2026-009025,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Multi-Family,Issued,Commercial,200-16 W CHELTENHAM AVE,19126-3140,9,"Pritzker Law Group, LLC","Pritzker Law Group, LLC
1501 Locust St
#702
Philadelphia, PA  19102
USA",,,,MELROSE PARK MANOR AC,2026-09-11T16:22:36Z,commercial_fitout
